Danger_Level__rgn1_t2,Speed_RPT__i1_t2,VehicleType__v1,MTI_Condition__v1_mti1_t2,Speed__v1_t2,Speed__v1_t1
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Tracked,Good,Fast,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Slow
High,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Tracked,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Tracked,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
High,Slow,Tracked,Bad,Slow,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Tracked,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Tracked,Bad,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Tracked,Bad,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Tracked,Bad,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Tracked,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Tracked,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
High,Slow,Tracked,Bad,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
High,Slow,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Tracked,Good,Slow,Fast
High,Slow,Tracked,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Tracked,Good,Slow,Fast
High,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Slow
High,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Wheeled,Good,Fast,Slow
High,Slow,Tracked,Bad,Slow,Fast
High,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Fast
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Tracked,Good,Fast,Fast
Low,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Slow,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
High,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Tracked,Good,Slow,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Bad,Fast,Slow
High,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Tracked,Bad,Slow,Slow
High,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
High,Fast,Tracked,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
High,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Tracked,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
High,Fast,Tracked,Bad,Slow,Fast
Low,Slow,Tracked,Bad,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Tracked,Good,Slow,Fast
High,Slow,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Slow,Wheeled,Bad,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Wheeled,Good,Fast,Slow
High,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
High,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Tracked,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Slow
High,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
High,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
High,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Bad,Fast,Fast
High,Fast,Wheeled,Bad,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Tracked,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Tracked,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Slow,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Tracked,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Slow,Slow
High,Fast,Tracked,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Bad,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
High,Slow,Tracked,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
High,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
High,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Bad,Fast,Slow
Low,Slow,Tracked,Bad,Slow,Fast
High,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Slow,Wheeled,Good,Slow,Fast
Low,Slow,Wheeled,Good,Slow,Slow
Low,Fast,Wheeled,Bad,Fast,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Slow
Low,Slow,Wheeled,Good,Slow,Fast
Low,Fast,Wheeled,Good,Fast,Slow
Low,Fast,Wheeled,Good,Fast,Fast
Low,Fast,Wheeled,Good,Slow,Fast
